VISITOR LEVEL:;;;100%;;100%;;30%;30%;;;;;
ad_id;dealer_id;ad_days;vipViews_siteGermany;TopFeature_days;vipViews_TopFeature;DSPtestFeature_days;vipViews_DSPtestFeature;DSPdelivery;TOP feature ads;DSS feature flag;Feature flag;DSP delivery flag;DSP delivery & VIP view
103324188;468115;2;2;0;0;0;0;;0;0;0;0;0
103523771;462400;7;23;0;0;1;2;10;0;1;1;1;1
104350143;457490;7;41;0;0;0;0;;0;0;0;0;0
104350155;457490;7;43;0;0;0;0;;0;0;0;0;0
104350157;457490;7;29;0;0;0;0;;0;0;0;0;0
104588176;468115;7;14;0;0;0;0;;0;0;0;0;0
105389255;467817;7;19;0;0;0;0;;0;0;0;0;0
105391321;467817;7;15;0;0;0;0;15;0;0;0;1;0
105392187;467817;7;42;0;0;2;4;;0;1;1;0;0
105777701;472413;1;1;0;0;0;0;;0;0;0;0;0
105783458;472413;7;59;0;0;2;4;;0;1;1;0;0
105784487;472413;7;122;0;0;0;0;3;0;0;0;1;0
107056533;456811;7;18;0;0;0;0;;0;0;0;0;0
108755500;468115;6;10;0;0;0;0;;0;0;0;0;0
108755673;468115;7;22;0;0;0;0;;0;0;0;0;0
109737954;462124;7;23;0;0;0;0;5;0;0;0;1;0
110604500;467604;7;330;5;30;0;0;;1;0;1;0;0
110783173;817316;7;52;0;0;1;2;10;0;1;1;1;1
111123466;493640;7;30;0;0;0;0;5;0;0;0;1;0
111189517;468115;7;118;0;0;0;0;;0;0;0;0;0
111189955;468115;7;31;0;0;0;0;;0;0;0;0;0
111190200;468115;7;20;0;0;0;0;;0;0;0;0;0
111951208;497357;4;5;0;0;0;0;;0;0;0;0;0
114141792;468115;4;6;0;0;0;0;;0;0;0;0;0
114142847;468115;7;69;0;0;0;0;;0;0;0;0;0
114142952;468115;5;5;0;0;0;0;;0;0;0;0;0
114143764;468115;7;5;0;0;0;0;;0;0;0;0;0
115188769;497357;7;8;0;0;0;0;;0;0;0;0;0
115770054;456811;7;315;0;0;0;0;;0;0;0;0;0
116163607;468115;7;102;0;0;0;0;;0;0;0;0;0
116356674;468115;4;6;0;0;0;0;;0;0;0;0;0
116356851;468115;2;3;0;0;0;0;;0;0;0;0;0
116357003;468115;7;2;0;0;0;0;;0;0;0;0;0
116422337;468115;2;2;0;0;0;0;;0;0;0;0;0
116422486;468115;1;1;0;0;0;0;;0;0;0;0;0
116422625;468115;2;2;0;0;0;0;;0;0;0;0;0
116476455;468115;7;14;0;0;0;0;;0;0;0;0;0
116476553;468115;5;7;0;0;0;0;;0;0;0;0;0
116476646;468115;7;11;0;0;0;0;;0;0;0;0;0
116476843;468115;7;11;0;0;0;0;;0;0;0;0;0
116476969;468115;7;47;0;0;0;0;;0;0;0;0;0
116477048;468115;7;58;0;0;0;0;;0;0;0;0;0
116570486;455273;7;34;0;0;0;0;;0;0;0;0;0
116731947;468115;2;2;0;0;0;0;;0;0;0;0;0
116732028;468115;7;23;0;0;0;0;;0;0;0;0;0
116830872;468115;1;1;0;0;0;0;;0;0;0;0;0
116831188;468115;2;2;0;0;0;0;;0;0;0;0;0
116866832;456712;2;2;0;0;0;0;;0;0;0;0;0
116870523;456712;4;2;0;0;0;0;;0;0;0;0;0
116934627;468115;5;8;0;0;0;0;;0;0;0;0;0
116935701;468115;4;5;0;0;0;0;;0;0;0;0;0
116935987;468115;7;78;0;0;0;0;;0;0;0;0;0
117057225;468115;7;11;0;0;0;0;;0;0;0;0;0
117057488;468115;4;8;0;0;0;0;;0;0;0;0;0
117057990;468115;7;14;0;0;0;0;;0;0;0;0;0
117129977;490837;7;142;0;0;0;0;;0;0;0;0;0
117131623;490837;3;2;0;0;0;0;;0;0;0;0;0
117134065;490837;2;2;0;0;0;0;2;0;0;0;1;0
117135544;490837;3;2;0;0;0;0;2;0;0;0;1;0
117136705;490837;5;9;0;0;0;0;;0;0;0;0;0
117205878;456811;7;12;0;0;0;0;;0;0;0;0;0
117350947;497357;4;5;0;0;0;0;;0;0;0;0;0
117456767;497357;2;2;0;0;0;0;;0;0;0;0;0
117774461;468115;7;19;0;0;0;0;;0;0;0;0;0
117774499;468115;4;5;0;0;0;0;;0;0;0;0;0
117775682;468115;7;13;0;0;0;0;;0;0;0;0;0
117775862;468115;6;10;0;0;0;0;;0;0;0;0;0
117775965;468115;4;6;0;0;0;0;;0;0;0;0;0
117998294;464318;3;2;0;0;0;0;25;0;0;0;1;0
118313424;467817;7;63;0;0;0;0;;0;0;0;0;0
118444549;468115;7;76;0;0;0;0;;0;0;0;0;0
118444889;468115;7;10;0;0;0;0;;0;0;0;0;0
118938145;2719942;3;4;0;0;0;0;;0;0;0;0;0
118990229;468115;7;21;0;0;0;0;;0;0;0;0;0
118990561;468115;7;50;0;0;0;0;;0;0;0;0;0
119024563;468115;5;6;0;0;0;0;;0;0;0;0;0
119024632;468115;6;14;0;0;0;0;;0;0;0;0;0
119066719;490867;7;61;0;0;0;0;;0;0;0;0;0
119071386;2719942;7;86;0;0;0;0;;0;0;0;0;0
119126225;456956;1;1;0;0;0;0;;0;0;0;0;0
