VISITOR LEVEL:;;30%
ad_id;dealer_id;DSP lightbox views
11641390;489559;5
33528869;491467;8
38437809;452561;5
92305555;455273;10
96088435;491467;25
98730673;454479;8
98730690;454479;2
103523771;462400;10
105391321;467817;15
105784487;472413;3
109737954;462124;5
110783173;817316;10
111123466;493640;5
117134065;490837;2
117135544;490837;2
117998294;464318;25
119433387;452236;5
121462869;467604;2
121926524;460930;25
124184818;472219;15
124185356;452561;7
125336169;3237123;3
125893477;468115;23
126157586;460930;13
126160271;490837;2
126600920;491467;2
126979821;490837;3
127138681;814944;5
127380193;472054;2
128782815;477061;3
128996830;458731;7
129880184;3237123;3
130570524;462643;23
131530572;462643;5
131729052;460930;7
132478883;462333;20
132563720;462333;2
132565261;462333;2
132567241;462333;7
132631271;462333;2
133216738;477061;2
133437246;490837;2
133548672;1377482;8
133600667;473867;2
133707503;451618;3
133914432;454521;5
133970226;456073;7
134043576;455669;2
134102054;462643;2
134269616;458731;10
134576280;460189;2
134722622;452561;18
134724599;457612;8
135267203;508546;18
135271148;477061;2
135297864;459615;3
135450927;492296;3
135589869;452413;2
135598843;457612;2
135600334;457612;2
135722718;466637;3
135794081;471480;2
135811280;462288;5
135845979;457042;5
136023935;454479;3
136797728;490251;3
137472193;457612;5
137491667;455669;3
137491669;455669;5
137553846;457042;5
137663108;491467;5
138140911;491467;20
138210804;461225;2
138267853;456073;10
138286932;456073;7
138453665;462729;2
138460011;462124;3
138460769;456530;3
138736996;817316;20
138871843;476877;2
138931308;463841;2
139148839;452616;5
139167726;452561;2
139228847;477061;3
139338657;451865;3
139635168;462124;5
139716009;504428;2
139796292;457612;38
140498045;817316;12
140572230;3237123;13
140661266;462643;5
140868829;3237123;3
140923645;465449;3
140939325;462124;5
141012234;468064;3
141012238;468064;2
141059416;460586;2
141059417;460586;8
141059419;460586;5
141059420;460586;3
141059440;460586;17
141059449;460586;15
141059450;460586;7
141059453;460586;5
141059489;460586;25
141059490;460586;23
141059496;460586;46
141059498;460586;2
141059511;460586;2
141059512;460586;5
141059513;460586;15
141059623;460586;10
141059631;460586;23
141059643;460586;20
141059722;460586;15
141059724;460586;38
141059762;460586;35
141059763;460586;7
141059779;460586;51
141059814;460586;7
141059815;460586;8
141059816;460586;2
141059825;460586;5
141254017;462643;3
141254020;462643;3
141376636;460586;5
141474030;455872;5
141474052;455872;2
141550146;457042;20
141631693;460930;36
141838634;459615;10
142182239;460586;5
142258482;455247;7
142294232;458979;18
142306353;460586;7
142593005;456073;2
142632761;459955;35
142643411;460586;8
142715071;472580;3
142808531;472219;5
142850364;471026;3
142856775;460586;30
142864966;462100;2
142912130;490837;7
142963855;462184;15
142973714;468092;3
143017251;462643;2
143065582;465449;8
143149976;459063;23
143228948;460586;2
143241406;466637;3
143332672;470158;3
143334107;451652;8
143506510;460586;3
143565825;460930;13
143576465;490837;2
143578071;490837;3
143830599;461225;2
143885273;460586;7
143892226;460586;8
143895015;470963;2
143898400;460586;18
143938813;463951;10
143967737;462184;2
144152525;465449;7
144262314;465449;2
144320220;3237123;20
144340769;462643;2
144382636;457265;10
144431969;4252454;10
144431972;4252454;2
144431978;4252454;8
144431981;4252454;13
144431991;4252454;3
144431994;4252454;5
144431996;4252454;2
144431998;4252454;3
144431999;4252454;8
144432002;4252454;3
144432004;4252454;7
144432006;4252454;2
144432016;4252454;5
144432027;4252454;2
144432036;4252454;2
144432038;4252454;8
144432042;4252454;2
144511764;459908;10
144523625;452236;50
144655629;464572;5
144716967;4252454;10
144762396;460586;5
144777162;473867;5
144777231;473867;5
144777241;473867;7
144777287;473867;2
144788989;493640;2
145136873;458731;2
145148400;460586;3
145215358;465449;25
145228500;460586;30
145297594;460586;7
145395931;457612;2
145430538;5763516;8
145446241;817316;20
145514872;491467;10
145533094;459063;3
145548386;491467;3
145707442;458494;3
145713268;460586;2
145829101;465553;2
145945875;460586;3
